time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,18.0,18.0,,,,,,,,18.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.3,0.7,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.49819,18.0,18.0,1023.32944444444,3683986.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,3000.0,3.7,20.0,3.7,49.0,0.0,1023.32944444444,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,10.58,88.0,21.0,13.791,715.4,33.46,13.987,22.0,-1.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,22.880000000000003
2.0,13.3,0.7,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.49819,18.0,18.0,1023.32944444444,3683986.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,3000.0,3.7,20.0,3.7,49.0,0.0,1023.32944444444,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,10.58,88.0,21.0,13.791,715.4,33.46,13.987,22.0,-1.2,3.0,0.0,0.0,,,,,21.0,1.0,,,0.0,,,,,,,21.0,20.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.7417386,0.0,,0.0,,,0.0,0.0,0.0,,22.880000000000003
3.0,13.3,0.6,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.42702,18.0,18.0,1023.33027777778,3683989.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,3000.0,3.7,23.0,3.7,49.0,0.0,1023.33027777778,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,10.58,88.0,21.0,13.791,715.4,33.46,13.987,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.7417386,0.0,,0.0,0.0,0.0,0.0,0.49819,0.0,,22.880000000000003
4.0,13.3,0.6,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.42702,18.0,18.0,1023.33027777778,3683989.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,3000.0,3.7,23.0,3.7,49.0,0.0,1023.33027777778,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,9.60000000000002,88.0,21.0,13.799,715.5,32.25,13.985,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.760294,0.0,,0.0,0.0,0.0,0.0,0.49819,0.0,,22.64999999999998
5.0,13.3,0.6,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.42702,18.0,18.0,1023.33083333333,3683991.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33083333333,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,9.60000000000002,88.0,21.0,13.799,715.5,32.25,13.985,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.760294,0.0,,0.0,0.0,0.0,0.0,0.42702,0.0,,22.64999999999998
6.0,13.3,0.6,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.42702,18.0,18.0,1023.33083333333,3683991.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33083333333,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,8.76999999999998,88.0,21.0,13.803,715.1,31.3,13.98,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.7705483,0.0,0.0,0.0,0.0,0.0,0.0,0.42702,0.0,,22.530000000000022
7.0,13.3,0.6,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.42702,18.0,18.0,1023.33138888889,3683993.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,64.0,0.0,1023.33138888889,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,8.76999999999998,88.0,21.0,13.803,715.1,31.3,13.98,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.7705483,0.0,0.0,0.0,0.0,0.0,0.0,0.42702,0.0,,22.530000000000022
8.0,13.3,0.6,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.42702,18.0,18.0,1023.33138888889,3683993.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,64.0,0.0,1023.33138888889,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,8.16000000000003,88.0,21.0,13.807,715.1,30.67,13.978,22.0,-1.3,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.7705483,0.0,0.0,0.0,0.0,0.0,0.0,0.42702,0.0,,22.50999999999997
9.0,13.3,0.5,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.35585,18.0,18.0,1023.33194444444,3683995.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,49.0,0.0,1023.33194444444,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,8.16000000000003,88.0,21.0,13.807,715.1,30.67,13.978,22.0,-1.3,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.443,0.0,13.7705483,0.0,0.0,0.0,0.0,0.0,0.0,0.42702,0.0,,22.50999999999997
10.0,13.3,0.5,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.35585,18.0,18.0,1023.33194444444,3683995.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,49.0,0.0,1023.33194444444,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.63,88.0,21.0,13.811,715.1,30.28,13.98,22.0,-1.3,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.443,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,0.42702,0.0,0.0,22.650000000000002
11.0,13.3,0.5,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.35585,18.0,18.0,1023.3325,3683997.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,49.0,0.0,1023.3325,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.63,88.0,21.0,13.811,715.1,30.28,13.98,22.0,-1.3,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.7612706,0.0,0.0,0.0,0.0,0.0,0.0,0.35585,0.0,0.0,22.650000000000002
12.0,13.3,0.5,711.7,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.35585,18.0,18.0,1023.3325,3683997.0,0.0,0.0,4.94236111111111,3.95388888888889,3.70677083333333,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,711.0,2629.0,3.7,9.0,3.7,49.0,0.0,1023.3325,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.16000000000003,88.0,21.0,13.813,715.4,29.79,13.977,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.7,4.442,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,0.35585,0.0,0.0,22.629999999999967
13.0,12.8,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33305555556,3683999.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,49.0,0.0,1023.33305555556,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.16000000000003,88.0,21.0,13.813,715.4,29.79,13.977,22.0,-1.2,3.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.445,0.0,13.7803143,0.0,0.0,0.0,0.0,0.0,0.0,0.3559,0.0,0.0,22.629999999999967
14.0,12.8,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33305555556,3683999.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,49.0,0.0,1023.33305555556,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.13,88.0,21.0,13.815,1.9,0.0,12.904,21.0,-0.1,0.0,0.0,0.0,0.0,14.0,63.0,0.0,20.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,20.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.445,0.0,12.8413134,0.0,0.0,0.0,0.0,0.0,0.0,0.3559,0.0,0.0,-7.13
15.0,12.7,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33361111111,3684001.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,6.0,3.7,77.0,0.0,1023.33361111111,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.13,88.0,21.0,13.815,1.9,0.0,12.904,21.0,-0.1,0.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.444,0.0,12.8413134,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7.13
16.0,12.7,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33361111111,3684001.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,6.0,3.7,77.0,0.0,1023.33361111111,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.13,88.0,21.0,13.815,2.2,0.0,12.819,21.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.444,0.0,12.7602556,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-7.13
17.0,12.6,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33416666667,3684003.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33416666667,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.13,88.0,21.0,13.815,2.2,0.0,12.819,21.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.443,0.0,12.7602556,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-7.13
18.0,12.6,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33416666667,3684003.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33416666667,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.13,88.0,21.0,13.815,3.5,0.0,12.74,20.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.443,0.0,12.7602556,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-7.13
19.0,12.6,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33416666667,3684003.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33416666667,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,7.13,88.0,21.0,13.815,3.5,0.0,12.74,20.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.442,0.0,12.6806627,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,-7.13
20.0,12.5,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33472222222,3684005.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33472222222,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,-19.3,88.0,21.0,12.683,3.6,0.0,12.672,20.0,0.0,0.0,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,20.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.442,0.0,12.6806627,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.3
21.0,12.5,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33472222222,3684005.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,2629.0,3.7,9.0,3.7,78.0,0.0,1023.33472222222,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,-19.3,88.0,21.0,12.683,3.6,0.0,12.672,20.0,,,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.442,0.0,12.6103475,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.3
22.0,12.4,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33555555556,3684008.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,3000.0,3.7,9.0,3.7,64.0,0.0,1023.33555555556,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,-19.3,88.0,21.0,12.683,3.6,0.0,12.672,20.0,,,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.442,0.0,12.6103475,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.3
23.0,12.4,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33555555556,3684008.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,3000.0,3.7,9.0,3.7,64.0,0.0,1023.33555555556,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,-19.44,88.0,21.0,12.626,3.4,0.08,12.599,20.0,,,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.442,0.0,12.5605409,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.52
24.0,12.4,0.0,711.8,0.0,0.0,0.0,19.0,20.0,19.0,18.0,19.0,19.0,18.0,18.0,18.0,0.0,18.0,18.0,1023.33611111111,3684010.0,0.0,0.0,4.94305555555556,3.95444444444444,3.70729166666667,18.0,1574.4,1548.4,1176.9,1120.3,0.0,0.0,0.0,0.0,2.0,3000.0,3.7,9.0,3.7,78.0,0.0,1023.33611111111,0.0,48.5,20.0,20.0,20.0,55.0,20.5,20.5,21.0,20.5,23.0,18.5,18.5,0.0,-19.44,88.0,21.0,12.626,3.4,0.08,12.599,20.0,,,0.0,0.0,0.0,14.0,63.0,0.0,21.0,0.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,21.0,21.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,711.8,4.442,0.0,12.5605409,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,19.52
