time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (Today) (km),Distance travelled (total) (km),Distance travelled (Week) (km),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,30.0,40.0,,,,,,,,30.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7630555555556,4355147.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,24.0,3.68,40.0,0.0,1209.76305555556,0.0,48.5,34.5,34.5,8.0,32.0,24.5,20.5,14.5,24.5,35.0,23.0,23.0,0.0,13.470000000000027,84.0,28.0,13.839,713.1,41.41,14.075,32.0,-8.200000000000001,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.56832,,-0.0,27.93999999999997
2.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7630555555556,4355147.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,24.0,3.68,40.0,0.0,1209.76305555556,0.0,48.5,34.5,34.5,8.0,32.0,24.5,20.5,14.5,24.5,35.0,23.0,23.0,0.0,13.470000000000027,84.0,28.0,13.839,713.1,41.41,14.075,32.0,-8.200000000000001,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8013112,0.0,,0.0,,,,,,,,,,0.56832,0.0,-0.0,27.93999999999997
3.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.763611111111,4355149.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,24.0,3.68,2.0,0.0,1209.76361111111,0.0,48.5,34.0,34.0,8.0,32.0,24.5,20.5,14.5,24.5,34.0,23.0,23.0,0.0,13.389999999999986,84.0,28.0,13.839,713.2,41.96,14.091,32.0,-8.200000000000001,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.786048440562167,9.689156871843732,0.0,0.00034606752384,,0.56832,0.0,-0.0,28.570000000000014
4.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.763611111111,4355149.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,24.0,3.68,2.0,0.0,1209.76361111111,0.0,48.5,34.0,34.0,8.0,32.0,24.5,20.5,14.5,24.5,34.0,23.0,23.0,0.0,13.389999999999986,84.0,28.0,13.839,713.2,41.96,14.091,32.0,-8.1,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8003346,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.786048440562167,9.689156871843732,0.0,0.00034606752384,,0.56832,0.0,-0.0,28.570000000000014
5.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7644444444445,4355152.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,167.0,3.68,49.0,0.0,1209.76444444444,0.0,48.5,34.0,34.0,8.5,32.0,24.5,20.5,14.5,24.5,34.0,23.0,23.0,0.0,13.389999999999986,84.0,28.0,13.839,713.2,41.96,14.091,32.0,-8.1,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8003346,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.786451966192963,9.689556402171252,0.0,0.00039953032752,,0.63936,0.0,-0.0,28.570000000000014
6.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7644444444445,4355152.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,167.0,3.68,49.0,0.0,1209.76444444444,0.0,48.5,34.0,34.0,8.5,32.0,24.5,20.5,14.5,24.5,34.0,23.0,23.0,0.0,13.300000000000011,84.0,28.0,13.84,713.1,42.27,14.083,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.786451966192963,9.689556402171252,0.0,0.00039953032752,,0.63936,0.0,-0.0,28.96999999999999
7.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7647222222222,4355153.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,24.0,3.68,40.0,0.0,1209.76472222222,0.0,48.5,34.0,34.0,8.5,32.0,24.5,20.5,15.0,24.5,34.0,23.0,23.0,0.0,13.300000000000011,84.0,28.0,13.84,713.1,42.27,14.083,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.442,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.786762888595042,9.689864246133704,0.0,0.0003078439624533,,0.56832,0.0,-0.0,28.96999999999999
8.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7647222222222,4355153.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2477.0,3.7,24.0,3.68,40.0,0.0,1209.76472222222,0.0,48.5,34.0,34.0,8.5,32.0,24.5,20.5,15.0,24.5,34.0,23.0,23.0,0.0,13.240000000000007,84.0,28.0,13.839,713.3000000000001,42.03,14.088,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.442,0.0,13.8003346,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.786762888595042,9.689864246133704,0.0,0.0003078439624533,,0.56832,0.0,-0.0,28.789999999999992
9.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7652777777778,4355155.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,24.0,3.68,2.0,0.0,1209.76527777778,0.0,48.5,34.0,34.0,9.0,32.0,24.0,20.5,15.0,24.0,34.0,23.0,23.0,0.0,13.240000000000007,84.0,28.0,13.839,713.3000000000001,42.03,14.088,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8003346,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.787108424817117,9.690206361205066,0.0,0.00034211507136,,0.63936,0.0,0.0,28.789999999999992
10.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7652777777778,4355155.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,24.0,3.68,2.0,0.0,1209.76527777778,0.0,48.5,34.0,34.0,9.0,32.0,24.0,20.5,15.0,24.0,34.0,23.0,23.0,0.0,13.199999999999989,84.0,28.0,13.84,713.0,42.04,14.092,32.0,-8.200000000000001,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.787108424817117,9.690206361205066,0.0,0.00034211507136,,0.63936,0.0,0.0,28.84000000000001
11.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7658333333334,4355157.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,24.0,3.68,40.0,0.0,1209.76583333333,0.0,48.5,34.0,34.0,9.0,32.0,24.0,20.5,15.0,24.0,34.0,23.0,23.0,0.0,13.199999999999989,84.0,28.0,13.84,713.0,42.04,14.092,32.0,-8.200000000000001,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.787462423514556,9.690556854964903,0.0,0.00035049375984,,0.63936,0.0,0.0,28.84000000000001
12.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7658333333334,4355157.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,24.0,3.68,40.0,0.0,1209.76583333333,0.0,48.5,34.0,34.0,9.0,32.0,24.0,20.5,15.0,24.0,34.0,23.0,23.0,0.0,13.090000000000032,84.0,28.0,13.84,712.9000000000001,41.35,14.088,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8105889,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.787462423514556,9.690556854964903,0.0,0.00035049375984,,0.63936,0.0,0.0,28.25999999999997
13.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.766388888889,4355159.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,20.0,3.68,49.0,0.0,1209.76638888889,0.0,48.5,34.0,34.0,9.5,32.0,24.0,20.5,15.5,24.0,34.0,23.0,23.0,0.0,13.04000000000002,84.0,28.0,13.84,713.2,41.78,14.092,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8105889,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.787773963097628,9.690865309997651,0.0,0.0003084550327466,,0.56832,0.0,0.0,28.73999999999998
14.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.766388888889,4355159.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,20.0,3.68,49.0,0.0,1209.76638888889,0.0,48.5,34.0,34.0,9.5,32.0,24.0,20.5,15.5,24.0,34.0,23.0,23.0,0.0,13.04000000000002,84.0,28.0,13.84,713.2,41.78,14.092,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.787773963097628,9.690865309997651,0.0,0.0003084550327466,,0.56832,0.0,0.0,28.73999999999998
15.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7669444444443,4355161.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,20.0,3.68,40.0,0.0,1209.76694444444,0.0,48.5,34.5,34.5,9.5,32.0,24.0,20.5,15.5,24.0,34.0,23.0,23.0,0.0,12.970000000000027,84.0,28.0,13.841,713.4000000000001,41.38,14.078,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8013112,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.788089298978422,9.691177523741011,0.0,0.00031221374336,,0.56832,0.0,0.0,28.409999999999975
16.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7669444444443,4355161.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2494.0,3.7,20.0,3.68,40.0,0.0,1209.76694444444,0.0,48.5,34.5,34.5,9.5,32.0,24.0,20.5,15.5,24.0,34.0,23.0,23.0,0.0,12.970000000000027,84.0,28.0,13.841,713.4000000000001,41.38,14.078,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8105889,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.788089298978422,9.691177523741011,0.0,0.00031221374336,,0.56832,0.0,0.0,28.409999999999975
17.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7675,4355163.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2497.0,3.7,24.0,3.68,40.0,0.0,1209.7675,0.0,48.5,34.5,34.5,10.0,31.0,24.0,20.5,15.5,24.0,34.0,23.0,23.0,0.0,12.900000000000034,84.0,28.0,13.842,713.3000000000001,41.51,14.085,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8105889,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.788395438530724,9.691480632208638,0.0,0.0003031084676266,,0.56832,0.0,0.0,28.609999999999964
18.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.7675,4355163.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2497.0,3.7,24.0,3.68,40.0,0.0,1209.7675,0.0,48.5,34.5,34.5,10.0,31.0,24.0,20.5,15.5,24.0,34.0,23.0,23.0,0.0,12.900000000000034,84.0,28.0,13.842,713.3000000000001,41.51,14.085,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.444,0.0,13.8096123,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.788395438530724,9.691480632208638,0.0,0.0003031084676266,,0.56832,0.0,0.0,28.609999999999964
19.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7680555555555,4355165.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2497.0,3.7,119.0,3.68,49.0,0.0,1209.76805555556,0.0,48.5,34.5,34.5,10.5,31.0,24.0,20.5,16.0,24.0,34.0,23.0,23.0,0.0,12.860000000000014,84.0,28.0,13.842,713.0,41.69,14.085,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,31.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,31.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8096123,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.788755850494166,9.691837475736795,0.0,0.00035684352816,,0.63936,0.0,0.0,28.829999999999984
20.0,13.4,0.9,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.63936,30.0,40.0,1209.7680555555555,4355165.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2497.0,3.7,119.0,3.68,49.0,0.0,1209.76805555556,0.0,48.5,34.5,34.5,10.5,31.0,24.0,20.5,16.0,24.0,34.0,23.0,23.0,0.0,12.860000000000014,84.0,28.0,13.842,713.0,41.69,14.085,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8105889,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.788755850494166,9.691837475736795,0.0,0.00035684352816,,0.63936,0.0,0.0,28.829999999999984
21.0,13.4,0.8,710.4,0.0,0.0,0.0,25.0,20.0,27.0,22.0,24.0,25.0,26.0,22.0,22.0,0.56832,30.0,40.0,1209.768611111111,4355167.0,0.0,0.0,4.93333333333333,3.94666666666667,3.7,30.0,1790.4,1762.0,1337.1,1274.9,0.0,0.0,0.0,0.0,708.0,2497.0,3.7,167.0,3.68,49.0,0.0,1209.76861111111,0.0,48.5,34.5,34.5,10.5,31.0,24.0,21.0,16.0,24.0,34.0,23.0,23.0,0.0,12.800000000000011,84.0,28.0,13.842,713.1,41.32,14.079,32.0,-8.3,3.0,0.0,0.0,0.0,21.0,157.0,0.0,32.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,32.0,31.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,47.5,710.4000000000001,4.443,0.0,13.8105889,0.0,0.0,0.0,0.0,88.273744,279.583783,88.273744,9.789071045520952,9.692149550020744,0.0,0.0003120742839466,,0.56832,0.0,0.0,28.51999999999999
