time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
0.0,,,,0.0,,,,20.0,,,,,,,,,19.0,16.0,,,,,,,,19.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1.0,13.4,0.8,742.4,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.59392,19.0,16.0,1114.806388888889,4013303.0,0.0,0.0,5.15555555555556,4.12444444444444,3.86666666666667,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,742.0,3000.0,3.86,22.0,3.86,181.0,0.0,1114.80638888889,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,27.00999999999999,83.0,18.5,13.862,746.3000000000001,48.13,14.146,21.0,-0.2,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,21.12000000000001
2.0,13.4,0.8,742.4,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.59392,19.0,16.0,1114.806388888889,4013303.0,0.0,0.0,5.15555555555556,4.12444444444444,3.86666666666667,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,742.0,3000.0,3.86,22.0,3.86,181.0,0.0,1114.80638888889,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,27.00999999999999,83.0,18.5,13.862,746.3000000000001,48.13,14.146,21.0,-0.2,3.0,0.0,0.0,,,,,22.0,1.0,,,0.0,,,,,,,22.0,22.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.8403752,0.0,,0.0,,,0.0,,0.0,0.0,,21.12000000000001
3.0,13.4,0.9,742.3,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.66807,19.0,16.0,1114.8069444444443,4013305.0,0.0,0.0,5.15486111111111,4.12388888888889,3.86614583333333,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,742.0,3000.0,3.86,22.0,3.86,49.0,0.0,1114.80694444444,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,27.00999999999999,83.0,18.5,13.862,746.3000000000001,48.13,14.146,21.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.4000000000001,4.442,0.0,13.8403752,0.0,,0.0,0.0,0.0,0.0,,0.59384,0.0,,21.12000000000001
4.0,13.4,0.9,742.3,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.66807,19.0,16.0,1114.8069444444443,4013305.0,0.0,0.0,5.15486111111111,4.12388888888889,3.86614583333333,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,742.0,3000.0,3.86,22.0,3.86,49.0,0.0,1114.80694444444,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,25.819999999999993,83.0,18.5,13.903,746.0,46.8,14.173,22.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.4000000000001,4.442,0.0,13.8804158,0.0,,0.0,0.0,0.0,0.0,,0.59384,0.0,,20.980000000000004
5.0,13.4,0.9,742.3,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.66807,19.0,16.0,1114.8075,4013307.0,0.0,0.0,5.15486111111111,4.12388888888889,3.86614583333333,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,742.0,3000.0,3.86,9.0,3.86,181.0,0.0,1114.8075,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,25.819999999999993,83.0,18.5,13.903,746.0,46.8,14.173,22.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.3000000000001,4.441,0.0,13.8804158,0.0,,0.0,0.0,0.0,0.0,,0.6680699999999999,0.0,,20.980000000000004
6.0,13.4,0.9,742.3,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.66807,19.0,16.0,1114.8075,4013307.0,0.0,0.0,5.15486111111111,4.12388888888889,3.86614583333333,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,742.0,3000.0,3.86,9.0,3.86,181.0,0.0,1114.8075,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,24.50999999999999,83.0,18.5,13.928,746.1,45.75,14.192,22.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.3000000000001,4.441,0.0,13.901412700000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.6680699999999999,0.0,,21.24000000000001
7.0,13.4,0.8,742.4,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.59392,19.0,16.0,1114.8080555555557,4013309.0,0.0,0.0,5.15555555555556,4.12444444444444,3.86666666666667,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,85.0,0.0,1114.80805555556,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,24.50999999999999,83.0,18.5,13.928,746.1,45.75,14.192,22.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.4000000000001,4.443,0.0,13.901412700000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.66816,0.0,,21.24000000000001
8.0,13.4,0.8,742.4,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.59392,19.0,16.0,1114.8080555555557,4013309.0,0.0,0.0,5.15555555555556,4.12444444444444,3.86666666666667,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,85.0,0.0,1114.80805555556,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,23.420000000000016,83.0,18.5,13.935,746.5,44.05,14.188,22.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.4000000000001,4.443,0.0,13.910690400000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.66816,0.0,,20.62999999999998
9.0,13.4,0.8,742.4,0.0,0.0,0.0,21.0,20.0,20.0,19.0,19.0,19.0,19.0,19.0,19.0,0.59392,19.0,16.0,1114.8080555555557,4013309.0,0.0,0.0,5.15555555555556,4.12444444444444,3.86666666666667,19.0,1705.7,1662.8,1274.2,1202.4,0.0,0.0,0.0,0.0,741.0,3000.0,3.86,24.0,3.86,85.0,0.0,1114.80805555556,0.0,63.0,20.5,20.5,20.0,53.0,21.0,20.5,20.5,21.0,24.0,21.0,21.0,0.0,23.420000000000016,83.0,18.5,13.935,746.5,44.05,14.188,22.0,-0.2,3.0,0.0,0.0,0.0,17.0,123.0,0.0,22.0,1.0,0.0,825.6,0.0,0.0,0.6000000000000001,9.0,0.0,30.0,0.0,22.0,22.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,63.0,742.3000000000001,4.443,0.0,13.910690400000002,0.0,0.0,0.0,0.0,0.0,0.0,,0.66816,0.0,,20.62999999999998
