time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (hp),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (hp),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (hp),Distance travelled (total) (miles),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (mi/kWh),Hybrid/EV Charger Power (hp),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),HV EV Battery Power (kW),12V device load (A)
0.0,,,,0.0,,,20.0,,,,,,,66.2,89.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19.0,,,,,,,,,,,,,
1.0,14.1,0.6,739.5,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603264111597742,66.2,89.6,998.209722222222,3593555.0,0.0,0.0,5.13541666666667,4.10833333333333,3.8515625,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,24.0,3.84,64.0,0.0,998.209722222222,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,,,,,,,,,,,-0.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,,,,0.0,,0.0,
2.0,14.1,0.6,739.5,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603264111597742,66.2,89.6,998.209722222222,3593555.0,0.0,0.0,5.13541666666667,4.10833333333333,3.8515625,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,24.0,3.84,64.0,0.0,998.209722222222,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,,,,,,,,,,,-0.9,3.0,0.0,0.0,,,,,68.0,1.0,,,0.0,,,,,,,68.0,68.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.5703837,,0.0,,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,,,0.0,0.0,,0.0,
3.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.441,0.0,14.5703837,,0.0,,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,,0.4498005475769605,
4.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.441,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
5.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
6.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
7.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
8.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
9.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
10.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
11.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
12.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
13.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
14.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
15.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
16.0,14.1,0.6,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.603182534300704,66.2,89.6,998.210277777778,3593557.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2587.0,3.84,10.0,3.84,61.0,0.0,998.210277777778,0.0,62.0,68.9,68.0,52.0,69.8,76.1,72.5,67.1,,,,,,,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,,,-40.0,-40.0,0.0,0.0,0.0,0.4498005475769605,
17.0,14.1,0.5,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,64.4,66.2,0.502652111917253,66.2,89.6,998.214166666667,3593571.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2533.0,3.84,9.0,3.84,85.0,0.0,998.214166666667,0.0,62.0,68.9,68.0,52.0,70.7,76.1,72.5,67.1,10.59,91.0,14.614,743.9,25.84,14.765,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5703837,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,20.0,21.999999999999996,-40.0,-40.0,0.0,0.0,0.0,0.37483378964746683,15.25
18.0,14.1,0.5,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,64.4,66.2,0.502652111917253,66.2,89.6,998.214166666667,3593571.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2533.0,3.84,9.0,3.84,85.0,0.0,998.214166666667,0.0,62.0,68.9,68.0,52.0,70.7,76.1,72.5,67.1,10.59,91.0,14.614,743.9,25.84,14.765,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.5,4.443,0.0,14.5615943,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,20.0,21.999999999999996,-40.0,-40.0,0.0,0.0,0.0,0.37483378964746683,15.25
19.0,14.1,0.4,739.5,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.402176074398495,66.2,89.6,998.214722222222,3593573.0,0.0,0.0,5.13541666666667,4.10833333333333,3.8515625,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2533.0,3.84,24.0,3.84,64.0,0.0,998.214722222222,0.0,62.0,68.9,68.0,52.0,70.7,76.1,72.5,67.1,10.23,91.0,14.599,743.8,25.97,14.747,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.4,4.442,0.0,14.5615943,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,20.0,21.999999999999996,-40.0,-40.0,0.0,0.0,0.0,0.374884483965786,15.739999999999998
20.0,14.1,0.4,739.5,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.402176074398495,66.2,89.6,998.214722222222,3593573.0,0.0,0.0,5.13541666666667,4.10833333333333,3.8515625,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2533.0,3.84,24.0,3.84,64.0,0.0,998.214722222222,0.0,62.0,68.9,68.0,52.0,70.7,76.1,72.5,67.1,10.23,91.0,14.599,743.8,25.97,14.747,0.0,0.0,0.0,0.0,0.0,230.4,0.0,0.0,0.0,0.0,-1.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.4,4.442,0.0,14.5596411,0.0,0.0,0.0,0.0,0.0,0.0,,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,20.0,21.999999999999996,-40.0,-40.0,0.0,0.0,0.0,0.374884483965786,15.739999999999998
21.0,14.1,0.5,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.502652111917253,66.2,89.6,998.215277777778,3593575.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2533.0,3.84,24.0,3.84,61.0,0.0,998.215277777778,0.0,62.0,68.9,68.0,52.0,70.7,76.1,72.5,67.1,9.93000000000001,91.0,14.6,743.1,24.86,14.753,,,,,,,,,,,-1.0,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.4,4.443,0.0,14.5596411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,20.0,21.999999999999996,,,0.0,0.0,0.0,0.2998670317179739,14.929999999999989
22.0,14.1,0.5,739.4,0.0,0.0,0.0,20.0,66.2,66.2,66.2,66.2,66.2,0.502652111917253,66.2,89.6,998.215277777778,3593575.0,0.0,0.0,5.13472222222222,4.10777777777778,3.85104166666667,1565.2,1524.9,1170.3,1103.7,0.0,0.0,0.0,0.0,738.0,2533.0,3.84,24.0,3.84,61.0,0.0,998.215277777778,0.0,62.0,68.9,68.0,52.0,70.7,76.1,72.5,67.1,9.93000000000001,91.0,14.6,743.1,24.86,14.753,,,,,,,,,,,-0.9,3.0,0.0,0.0,0.0,14.0,63.0,0.0,68.0,1.0,0.0,825.6,0.0,0.0,0.6,9.0,0.0,29.0,0.0,68.0,68.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,62.0,739.4,4.443,0.0,14.5606177,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0,19.0,19.0,19.0,20.500000000000004,22.5,24.0,19.499999999999996,20.0,21.999999999999996,,,0.0,0.0,0.0,0.2998670317179739,14.929999999999989
