time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery Inlet Temperature (℃),[BMS] Battery management (),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Battery Pack B01 (℃),[BMS] Battery Pack B02 (℃),[BMS] Battery Pack B03 (℃),[BMS] Battery Pack B04 (℃),[BMS] Battery Pack B05 (℃),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℃),[BMS] Battery temperature PRA (℃),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Coolant temperature 2 (℃),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Evaporator Temperature (℃),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Indoor Temperature (℃),[HVAC] Interior temperature: driver legs vent (℃),[HVAC] Interior temperature: driver vent (℃),[HVAC] Interior temperature: front (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[HVAC] Outside temperature (℃),[HVAC] Real Vehicle Speed (km/h),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Temperature (℃),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] LDC Temperature (℃),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℃),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℃),[VCMS] DC Inlet Temperature 2 (℃),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),[VCS] Vehicle speed (high res.) (km/h),Average speed (km/h),DC Charger Power (kW),Distance travelled (km),Distance travelled (total) (km),EV Instant Energy Consumption (km/kWh),EV Instant Energy Consumption [kWh/100km] (kWh/100km),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),12V device load (A)
10.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52361111111,31775485.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52361111111,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,9.95999999999998,89.0,25.0,13.807,743.1,32.61,13.979,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.4,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.437,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,22.65000000000002
11.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52361111111,31775485.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52361111111,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,9.95999999999998,89.0,25.0,13.807,743.1,32.61,13.979,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.437,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,22.65000000000002
12.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52416666667,31775487.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52416666666,0.0,66.5,37.0,37.0,15.0,76.0,25.0,23.5,22.0,25.0,40.0,22.5,22.5,0.0,9.63,89.0,25.0,13.805,743.8,28.54,13.972,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.4,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.437,0.0,13.8105889,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.909999999999997
13.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52416666667,31775487.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52416666666,0.0,66.5,37.0,37.0,9.5,76.0,24.5,23.5,22.0,24.5,40.0,22.5,22.5,0.0,9.63,89.0,25.0,13.805,743.8,28.54,13.972,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.4,25.0,25.0,-4.3,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,,,,,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.909999999999997
14.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52416666667,31775487.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.52416666666,0.0,66.5,37.0,37.0,9.5,76.0,24.5,23.5,22.0,24.5,40.0,22.5,22.5,0.0,9.63,89.0,25.0,13.805,743.8,28.54,13.972,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.4,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8115655,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.909999999999997
15.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.525,31775490.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.525,0.0,66.5,37.0,37.0,9.5,76.0,24.5,23.5,22.0,24.5,40.0,22.5,22.5,0.0,9.63,89.0,25.0,13.805,743.8,28.54,13.972,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.4,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8115655,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.909999999999997
16.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.525,31775490.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.525,0.0,66.5,37.0,37.0,9.5,76.0,24.5,23.5,22.0,24.5,40.0,22.5,22.5,0.0,9.41000000000003,89.0,25.0,13.803,743.3,27.58,13.974,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.8,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.433,0.0,13.8115655,0.0,,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.169999999999966
17.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.525,31775490.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1721.0,3.86,15.0,3.84,80.0,0.0,8826.525,0.0,66.5,37.0,37.0,9.5,,24.5,,,24.5,40.0,22.5,22.5,,9.41000000000003,89.0,25.0,13.803,743.3,27.58,13.974,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.8,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.435,0.0,13.8115655,0.0,,0.0,,,,,1.40714,0.0,,18.169999999999966
18.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52583333333,31775493.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.52583333333,0.0,66.5,37.0,37.0,9.5,,24.5,,,24.5,40.0,22.5,22.5,,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.435,0.0,13.8115655,0.0,,0.0,,,,,1.40714,0.0,,18.25999999999999
19.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52583333333,31775493.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.52583333333,0.0,66.5,37.0,37.0,8.5,75.0,24.5,22.5,19.0,24.5,39.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8115655,0.0,0.0,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.25999999999999
20.0,13.4,1.9,740.6,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40714,24.0,22.0,8826.52583333333,31775493.0,0.0,0.0,5.14305555555556,4.11444444444444,3.85729166666667,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.52583333333,0.0,66.5,37.0,37.0,8.5,75.0,24.5,22.5,19.0,24.5,39.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,0.0,0.0,0.0,0.0,0.0,,1.40714,0.0,,18.25999999999999
21.0,13.4,1.9,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40695,24.0,22.0,8826.52666666667,31775496.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1800.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.52666666667,0.0,66.5,37.0,37.0,8.5,75.0,24.5,22.5,19.0,24.5,39.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,0.0,0.0,0.0,0.0,0.0,,1.40695,0.0,,18.25999999999999
22.0,13.4,1.9,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40695,24.0,22.0,8826.52666666667,31775496.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1800.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.52666666667,0.0,66.5,37.0,37.0,8.5,75.0,24.5,22.5,19.0,24.5,39.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,0.0,0.0,0.0,0.0,0.0,,1.40695,0.0,,18.25999999999999
23.0,13.4,1.9,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.40695,24.0,22.0,8826.52666666667,31775496.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1800.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.52666666667,0.0,66.5,37.0,37.0,8.5,75.0,24.5,22.5,19.0,24.5,39.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8105889,0.0,0.0,0.0,0.0,0.0,0.0,,1.40695,0.0,,18.25999999999999
24.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.5275,31775499.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1800.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.5275,0.0,66.5,37.0,37.0,8.5,75.0,24.5,22.5,19.0,24.5,39.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.6,4.434,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.40695,0.0,,18.25999999999999
25.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.5275,31775499.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1800.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.5275,0.0,66.5,37.5,37.5,6.5,75.0,24.5,22.5,19.0,24.5,38.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.5,4.437,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.40695,0.0,,18.25999999999999
26.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.5275,31775499.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1800.0,0.0,0.0,0.0,741.0,1730.0,3.86,15.0,3.84,80.0,0.0,8826.5275,0.0,66.5,37.5,37.5,6.5,75.0,24.5,22.5,19.0,24.5,38.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.5,4.433,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.40695,0.0,,18.25999999999999
27.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.52833333333,31775502.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1732.0,3.86,15.0,3.84,180.0,0.0,8826.52833333334,0.0,66.5,37.5,37.5,6.5,75.0,24.5,22.5,19.0,24.5,38.0,22.5,22.5,0.0,9.30000000000001,89.0,25.0,13.803,743.0,27.56,13.97,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.6,25.0,25.0,-4.7,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.5,4.433,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.3329,0.0,,18.25999999999999
28.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.52833333333,31775502.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1732.0,3.86,15.0,3.84,180.0,0.0,8826.52833333334,0.0,66.5,38.5,38.5,5.0,74.0,24.5,22.0,17.5,24.5,38.0,22.5,22.5,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.5,4.435,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.3329,0.0,,
29.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.52888888889,31775504.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1732.0,3.86,15.0,3.84,169.0,0.0,8826.52888888889,0.0,66.5,38.5,38.5,5.0,74.0,24.5,22.0,17.5,24.5,38.0,22.5,22.5,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.5,4.435,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.3329,0.0,,
30.0,13.4,1.8,740.5,0.0,0.0,0.0,24.0,23.0,25.0,24.0,24.0,24.0,24.0,24.0,24.0,1.3329,24.0,22.0,8826.52916666667,31775505.0,0.0,0.0,5.14236111111111,4.11388888888889,3.85677083333333,24.0,13832.1,13637.6,10132.6,9807.0,1780.0,0.0,0.0,0.0,741.0,1732.0,3.86,15.0,3.84,171.0,0.0,8826.52916666667,0.0,66.5,38.5,38.5,5.0,74.0,24.5,22.0,17.5,24.5,38.0,22.5,22.5,0.0,,,,,,,,,,,,,,,,,,,,,,,-4.5,3.0,0.0,0.0,0.0,443.0,3540.0,0.0,25.0,1.0,0.0,825.6,0.0,0.0,0.6,12.0,0.0,45.0,0.0,25.0,25.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,740.5,4.435,0.0,13.8193783,0.0,0.0,0.0,0.0,0.0,0.0,,1.3329,0.0,,
