time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (total) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),12V device load (A)
10.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
11.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
12.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
13.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
14.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
15.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
16.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.6807011,,,,,,,,,,-6.704080000000001,,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
17.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,13.6807011,,0.0,,,,,,,,-6.704080000000001,0.0,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,,,0.0,0.0,,29.29
18.0,12.7,-9.4,713.2,0.0,0.0,0.0,23.0,37.4,41.0,39.2,39.2,39.2,-6.70408,37.4,53.6,11317.616666666669,40743420.0,0.0,0.0,4.95277777777778,3.96222222222222,3.71458333333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,713.0,3000.0,3.7,2.0,3.7,17.0,0.0,11317.6166666667,0.0,53.5,,56.3,37.0,89.6,95.0,70.7,34.7,-8.439999999999998,95.0,13.113,710.9000000000001,20.85,13.387,16.55,16.830000000000002,60.0,2.06,2.01,33.39,240.5,0.0,5.3100000000000005,5.3100000000000005,10.62,711.9000000000001,,,3.4,911.0,2860.0,0.0,,,35.800000000000004,825.6,,56.7,5.800000000000001,13.0,0.0,41.0,0.0,,,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,714.1,1.491,0.0,13.6807011,,0.0,,,,,,,,-6.704080000000001,0.0,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,17.0,10.999999999999998,10.0,0.0,0.0,,29.29
19.0,13.4,-9.5,714.1,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,-6.78395,37.4,53.6,11317.621666666666,40743438.0,0.0,0.0,4.95902777777778,3.96722222222222,3.71927083333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,714.0,2500.0,3.72,2.0,3.7,17.0,0.0,11317.6216666667,0.0,53.5,,56.3,36.0,86.0,95.0,70.7,34.7,33.389999999999986,95.0,13.745,710.9000000000001,44.03,14.045,16.55,16.830000000000002,60.0,2.06,2.01,33.39,240.5,0.0,5.3100000000000005,5.3100000000000005,10.62,711.9000000000001,,,3.4,911.0,2860.0,0.0,,,35.800000000000004,825.6,,56.7,5.800000000000001,13.0,0.0,41.0,0.0,,,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,714.1,1.491,0.0,13.6807011,,0.0,,,,5.149055634227218,5.098074885373483,,-0.0337019079433472,-6.78395,0.0,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,18.000000000000004,10.999999999999998,10.0,0.0,0.0,,10.640000000000015
20.0,13.4,-9.5,714.1,0.0,0.0,0.0,23.0,37.4,41.0,39.2,41.0,39.2,-6.78395,37.4,53.6,11317.621666666666,40743438.0,0.0,0.0,4.95902777777778,3.96722222222222,3.71927083333333,25070.4,24825.3,18478.8,17903.3,0.0,0.0,0.0,0.0,714.0,2500.0,3.72,2.0,3.7,17.0,0.0,11317.6216666667,0.0,53.5,,56.3,36.0,86.0,95.0,70.7,34.7,33.389999999999986,95.0,13.745,710.9000000000001,44.03,14.045,16.55,16.830000000000002,60.0,2.06,2.01,33.39,240.5,0.0,5.3100000000000005,5.3100000000000005,10.62,711.9000000000001,0.0,0.0,3.4,911.0,2860.0,0.0,46.4,1.0,35.800000000000004,825.6,0.0,56.7,5.800000000000001,13.0,0.0,41.0,0.0,42.8,42.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,714.1,1.491,0.0,13.760294,,0.0,,,,5.149055634227218,5.098074885373483,,-0.0337019079433472,-6.78395,0.0,0.0,2.000000000000001,5.0,2.999999999999999,2.999999999999999,,21.5,,1.5000000000000016,7.000000000000001,18.000000000000004,10.999999999999998,10.0,0.0,0.0,,10.640000000000015
