time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (total) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (mi/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,35.6,42.8,,,,,,,,,,,,1480.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.000000000000001,,,,,,,,,,,,
1.0,13.5,1.8,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.3428,35.6,42.8,11313.928055555556,40730141.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,3000.0,3.88,69.0,3.88,17.0,0.0,11313.9280555556,0.0,68.0,,56.3,64.0,59.0,63.5,55.400000000000006,30.2,32.81999999999999,98.0,13.928,743.0,52.82,14.272,,,,,,,,,,,,,-1.9,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3428,,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,,13.000000000000004,,-1.0000000000000004,10.500000000000004,12.0,,,,0.0,,20.000000000000007
2.0,13.5,1.8,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.3428,35.6,42.8,11313.928055555556,40730141.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,3000.0,3.88,69.0,3.88,17.0,0.0,11313.9280555556,0.0,68.0,,56.3,64.0,59.0,63.5,55.400000000000006,30.2,32.81999999999999,98.0,13.928,743.0,52.82,14.272,,,,,,,,,,,,,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.441,0.0,13.9414533,,0.0,,,,,,,,,1.3428,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,,13.000000000000004,,-1.0000000000000004,10.500000000000004,12.0,,,0.0,0.0,,20.000000000000007
3.0,13.5,1.8,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.3428,35.6,42.8,11313.92861111111,40730143.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,3000.0,3.88,2.0,3.88,17.0,0.0,11313.9286111111,0.0,68.0,78.80000000000001,56.3,65.0,59.0,63.5,55.400000000000006,30.2,32.81999999999999,98.0,13.928,743.0,52.82,14.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.4000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.441,0.0,13.9414533,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4850213966357302,1.470318214490822,0.0,0.0009176321081,,1.3428,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,26.000000000000007,13.000000000000004,33.0,-1.0000000000000004,10.500000000000004,12.0,9.000000000000002,9.000000000000002,0.0,0.0,0.0,20.000000000000007
4.0,13.5,1.8,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.3428,35.6,42.8,11313.92861111111,40730143.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,3000.0,3.88,2.0,3.88,17.0,0.0,11313.9286111111,0.0,68.0,78.80000000000001,56.3,65.0,59.0,63.5,55.400000000000006,30.2,32.81999999999999,98.0,13.928,743.0,52.82,14.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,744.4000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.441,0.0,13.9414533,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4850213966357302,1.470318214490822,0.0,0.0009176321081,,1.3428,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,26.000000000000007,13.000000000000004,33.0,-1.0000000000000004,10.500000000000004,12.0,9.000000000000002,9.000000000000002,0.0,0.0,0.0,20.000000000000007
5.0,13.5,2.4,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.7904,35.6,42.8,11313.929166666669,40730145.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,10.0,3.88,17.0,0.0,11313.9291666667,0.0,68.0,80.6,56.3,65.0,59.900000000000006,63.5,55.400000000000006,30.2,32.81999999999999,98.0,13.928,743.0,52.82,14.272,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.3000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.438,0.0,13.9414533,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.486038773229849,1.4713255180493554,0.0,0.0010073035585333,,1.7903999999999998,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,26.999999999999996,13.000000000000004,35.0,-1.0000000000000004,10.500000000000004,12.0,9.000000000000002,8.0,0.0,0.0,0.0,20.000000000000007
6.0,13.5,2.4,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.7904,35.6,42.8,11313.929166666669,40730145.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,10.0,3.88,17.0,0.0,11313.9291666667,0.0,68.0,80.6,56.3,65.0,59.900000000000006,63.5,55.400000000000006,30.2,32.650000000000034,98.0,13.963,742.6,54.97,14.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.3000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.438,0.0,13.999560999999998,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.486038773229849,1.4713255180493554,0.0,0.0010073035585333,,1.7903999999999998,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,26.999999999999996,13.000000000000004,35.0,-1.0000000000000004,10.500000000000004,12.0,9.000000000000002,8.0,0.0,0.0,0.0,22.319999999999965
7.0,13.6,2.6,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.9396,35.6,42.8,11313.93,40730148.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,3.0,3.88,17.0,0.0,11313.93,0.0,68.0,83.30000000000001,55.400000000000006,65.0,59.900000000000006,63.5,55.400000000000006,30.2,32.650000000000034,98.0,13.963,742.6,54.97,14.321,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.4000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.442,0.0,13.999560999999998,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4872214511664,1.4724964863033665,0.0,0.0011709682540111,,1.9396,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,28.500000000000007,13.000000000000004,36.0,-1.0000000000000004,10.500000000000004,12.0,9.000000000000002,8.0,0.0,0.0,0.0,22.319999999999965
8.0,13.6,2.6,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,1.9396,35.6,42.8,11313.93,40730148.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,3.0,3.88,17.0,0.0,11313.93,0.0,68.0,83.30000000000001,55.400000000000006,65.0,59.900000000000006,63.5,55.400000000000006,30.2,32.889999999999986,98.0,13.982,743.1,56.35,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.4000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,746.0,4.442,0.0,14.0186047,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4872214511664,1.4724964863033665,0.0,0.0011709682540111,,1.9396,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,28.500000000000007,13.000000000000004,36.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,23.460000000000015
9.0,13.6,3.1,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.3126,35.6,42.8,11313.930555555557,40730150.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,16.0,3.88,17.0,0.0,11313.9305555556,0.0,68.0,83.30000000000001,55.400000000000006,65.0,59.900000000000006,63.5,55.400000000000006,30.2,32.889999999999986,98.0,13.982,743.1,56.35,14.33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,744.7,4.437,0.0,14.0186047,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.488603751525789,1.4738651005205832,0.0,0.0013686142172166,,2.3126,0.0,-0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,28.500000000000007,13.000000000000004,36.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,23.460000000000015
10.0,13.6,3.1,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.3126,35.6,42.8,11313.930555555557,40730150.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,16.0,3.88,17.0,0.0,11313.9305555556,0.0,68.0,83.30000000000001,54.5,65.0,59.900000000000006,63.5,54.5,30.2,33.05000000000001,98.0,13.997,742.9000000000001,51.77,14.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,744.7,4.437,0.0,14.028859,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.488603751525789,1.4738651005205832,0.0,0.0013686142172166,,2.3126,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,28.500000000000007,12.5,36.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,18.71999999999999
11.0,13.6,3.1,746.0,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.3126,35.6,42.8,11313.930555555557,40730150.0,0.0,0.0,5.18055555555556,4.14444444444444,3.88541666666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,16.0,3.88,17.0,0.0,11313.9305555556,0.0,68.0,83.30000000000001,54.5,65.0,59.900000000000006,63.5,54.5,30.2,33.05000000000001,98.0,13.997,742.9000000000001,51.77,14.349,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.9000000000001,-1.9,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.9000000000001,4.44,0.0,14.028859,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.488603751525789,1.4738651005205832,0.0,0.0013686142172166,,2.3126,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,28.500000000000007,12.5,36.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,18.71999999999999
12.0,13.7,3.7,745.6,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.75872,35.6,42.8,11313.931111111113,40730152.0,0.0,0.0,5.17777777777778,4.14222222222222,3.88333333333333,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,16.0,3.88,17.0,0.0,11313.9311111111,0.0,68.0,86.9,54.5,65.0,60.8,63.5,54.5,30.2,35.53000000000003,98.0,14.032,743.7,68.62,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.9000000000001,-2.1,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.9000000000001,4.44,0.0,14.028859,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4903021658994555,1.475546698910352,0.0,0.0016815983897688,,2.7587200000000003,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,30.5,12.5,38.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,33.089999999999975
13.0,13.7,3.7,745.6,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.75872,35.6,42.8,11313.931111111113,40730152.0,0.0,0.0,5.17777777777778,4.14222222222222,3.88333333333333,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,747.0,2500.0,3.88,16.0,3.88,17.0,0.0,11313.9311111111,0.0,68.0,86.9,54.5,65.0,60.8,63.5,54.5,30.2,35.53000000000003,98.0,14.032,743.7,68.62,14.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,-2.1,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.8000000000001,4.44,0.0,14.2593366,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4903021658994555,1.475546698910352,0.0,0.0016815983897688,,2.7587200000000003,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,30.5,12.5,38.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,33.089999999999975
14.0,13.9,3.5,745.7,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.60995,35.6,42.8,11313.931666666667,40730154.0,0.0,0.0,5.17847222222222,4.14277777777778,3.88385416666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,746.0,2399.0,3.88,2.0,3.88,17.0,0.0,11313.9316666667,0.0,68.0,88.7,54.5,65.0,60.8,63.5,54.5,30.2,56.18000000000001,98.0,14.301,742.4000000000001,75.79,14.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.0,-1.7000000000000002,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.8000000000001,4.44,0.0,14.2593366,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4918194773096802,1.477048987435327,0.0,0.001502288524975,,2.6099500000000004,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,31.5,12.5,39.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,19.61
15.0,13.9,3.5,745.7,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.60995,35.6,42.8,11313.931666666667,40730154.0,0.0,0.0,5.17847222222222,4.14277777777778,3.88385416666667,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,746.0,2399.0,3.88,2.0,3.88,17.0,0.0,11313.9316666667,0.0,68.0,88.7,54.5,65.0,60.8,63.5,54.5,30.2,56.18000000000001,98.0,14.301,742.4000000000001,75.79,14.741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,-1.7000000000000002,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.8000000000001,4.437,0.0,14.2593366,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4918194773096802,1.477048987435327,0.0,0.001502288524975,,2.6099500000000004,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,31.5,12.5,39.0,-1.0000000000000004,10.500000000000004,13.000000000000004,9.000000000000002,8.0,0.0,0.0,0.0,19.61
16.0,13.7,3.8,745.8,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.83404,35.6,42.8,11313.932222222222,40730156.0,0.0,0.0,5.17916666666667,4.14333333333333,3.884375,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,746.0,2399.0,3.88,182.0,3.88,17.0,0.0,11313.9322222222,0.0,68.0,90.5,53.6,65.0,61.7,64.4,54.5,30.2,43.70999999999998,98.0,14.198,742.7,62.51,14.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,742.0,-2.2,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.8000000000001,4.437,0.0,14.2593366,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4934255218206858,1.4786391305155304,0.0,0.0015901430802033,,2.834039999999999,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,32.5,12.5,40.0,-1.0000000000000004,10.500000000000004,14.000000000000002,9.000000000000002,8.0,0.0,0.0,0.0,18.80000000000002
17.0,13.7,3.8,745.8,0.0,0.0,0.0,23.0,41.0,46.4,42.8,46.4,42.8,2.83404,35.6,42.8,11313.932222222222,40730156.0,0.0,0.0,5.17916666666667,4.14333333333333,3.884375,25066.8,24805.2,18476.2,17888.9,1480.0,0.0,0.0,0.0,746.0,2399.0,3.88,182.0,3.88,17.0,0.0,11313.9322222222,0.0,68.0,90.5,53.6,65.0,61.7,64.4,54.5,30.2,43.70999999999998,98.0,14.198,742.7,62.51,14.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,743.1,-2.2,3.0,0.0,0.0,0.0,910.0,2860.0,0.0,42.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,41.0,41.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,68.5,745.8000000000001,4.44,0.0,14.1426329,0.0,0.0,4.607820329277022,133.8995727451682,90.67680123081206,1.4934255218206858,1.4786391305155304,0.0,0.0015901430802033,,2.834039999999999,0.0,0.0,-1.0000000000000004,8.0,4.000000000000002,2.000000000000001,32.5,12.5,40.0,-1.0000000000000004,10.500000000000004,14.000000000000002,9.000000000000002,8.0,0.0,0.0,0.0,18.80000000000002
