time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (mi/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),Distance travelled (total) (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,50.0,42.8,,,,,,,,,,,,1280.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,,,,,,,
1.0,13.6,4.7,736.7,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.46249,50.0,42.8,11275.47388888889,40591706.0,0.0,0.0,5.11597222222222,4.09277777777778,3.83697916666667,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,737.0,2382.0,3.82,16.0,3.82,17.0,0.0,11275.4738888889,0.0,64.5,111.2,,,,,,,,,,,,,,,,,,,,,,,,,-6.6000000000000005,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.9717279,,,,,,,,,,3.4624900000000003,,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,,,,,0.0,,,,
2.0,13.6,4.7,736.7,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.46249,50.0,42.8,11275.47388888889,40591706.0,0.0,0.0,5.11597222222222,4.09277777777778,3.83697916666667,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,737.0,2382.0,3.82,16.0,3.82,17.0,0.0,11275.4738888889,0.0,64.5,111.2,,,,,,,,,,,,,,,,,,,,,,,,,-6.6000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.441,0.0,13.9717279,,0.0,,,,,,,,3.4624900000000003,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,,,,,0.0,,,,
3.0,13.5,4.6,735.0,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.381,50.0,42.8,11275.474444444444,40591708.0,0.0,0.0,5.10416666666667,4.08333333333333,3.828125,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,737.0,2379.0,3.82,16.0,3.82,154.0,0.0,11275.4744444444,0.0,64.5,111.2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4000000000001,-6.6000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.441,0.0,13.9717279,,0.0,,,0.0021137260328566,0.0020927980523333,,0.0020927980523333,,3.3809999999999993,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,,,10.0,10.0,0.0,,,,
4.0,13.5,4.6,735.0,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.381,50.0,42.8,11275.474444444444,40591708.0,0.0,0.0,5.10416666666667,4.08333333333333,3.828125,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,737.0,2379.0,3.82,16.0,3.82,154.0,0.0,11275.4744444444,0.0,64.5,111.2,,,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4000000000001,-6.6000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.441,0.0,13.9717279,,0.0,,,0.0021137260328566,0.0020927980523333,,0.0020927980523333,,3.3809999999999993,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,,,10.0,10.0,0.0,,,,
5.0,13.5,4.9,736.7,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.60983,50.0,42.8,11275.475277777778,40591711.0,0.0,0.0,5.11597222222222,4.09277777777778,3.83697916666667,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,736.0,2379.0,3.82,16.0,3.82,17.0,0.0,11275.4752777778,0.0,64.5,111.2,38.3,49.0,87.80000000000001,61.7,54.5,49.1,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4000000000001,-6.6000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.441,0.0,13.9717279,,0.0,,,0.0042261650406096,0.0041843218223858,,0.0020915237700525,,3.609830000000001,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,12.5,53.0,9.5,,,10.0,10.0,0.0,0.0,,,
6.0,13.5,4.2,736.7,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.09414,50.0,42.8,11275.475555555557,40591712.0,0.0,0.0,5.11597222222222,4.09277777777778,3.83697916666667,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,735.0,2379.0,3.82,135.0,3.82,17.0,0.0,11275.4755555556,0.0,64.5,111.2,38.3,49.0,88.7,61.7,54.5,49.1,30.569999999999993,100.0,13.964,734.1,79.69,14.439,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4000000000001,-6.6000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.441,0.0,13.9717279,0.0,0.0,0.0,0.0,0.0051145226417513,0.0050638838037141,,0.0008795619813283,,3.0941400000000003,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,12.5,53.0,9.5,11.500000000000002,25.0,10.0,10.0,0.0,0.0,0.0,69.54543936659906,49.120000000000005
7.0,13.5,4.2,736.7,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.09414,50.0,42.8,11275.475555555557,40591712.0,0.0,0.0,5.11597222222222,4.09277777777778,3.83697916666667,24981.1,24723.2,18413.6,17830.4,1280.0,0.0,0.0,0.0,735.0,2379.0,3.82,135.0,3.82,17.0,0.0,11275.4755555556,0.0,64.5,111.2,38.3,49.0,88.7,61.7,54.5,49.1,30.680000000000007,100.0,13.967,733.6,79.06,14.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.4000000000001,-6.800000000000001,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.441,0.0,13.9717279,0.0,0.0,0.0,0.0,0.0051145226417513,0.0050638838037141,,0.0008795619813283,,3.0941400000000003,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,12.5,53.0,9.5,11.500000000000002,25.0,10.0,10.0,0.0,0.0,0.0,69.54543936659906,48.379999999999995
8.0,13.5,4.9,736.2,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.60738,50.0,42.8,11275.476111111111,40591714.0,0.0,0.0,5.1125,4.09,3.834375,24981.1,24723.2,18413.6,17830.4,1380.0,0.0,0.0,0.0,737.0,2379.0,3.82,135.0,3.82,17.0,0.0,11275.4761111111,0.0,64.5,110.3,38.3,49.0,88.7,61.7,54.5,49.1,30.680000000000007,100.0,13.967,733.6,79.06,14.441,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.7,-6.800000000000001,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,735.4000000000001,4.439,,,0.0,0.0,0.0,0.0,0.0074183233142144,0.0073448745685291,0.0,0.002280990764815,,3.607380000000001,0.0,,10.0,10.0,9.000000000000002,10.0,43.5,12.5,53.0,9.5,11.500000000000002,25.0,10.0,10.0,,0.0,0.0,69.54543936659906,48.379999999999995
9.0,13.5,4.9,736.2,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.60738,50.0,42.8,11275.476111111111,40591714.0,0.0,0.0,5.1125,4.09,3.834375,24981.1,24723.2,18413.6,17830.4,1380.0,0.0,0.0,0.0,737.0,2379.0,3.82,135.0,3.82,17.0,0.0,11275.4761111111,0.0,64.5,110.3,38.3,49.0,88.7,61.7,54.5,49.1,30.569999999999993,100.0,13.965,734.5,77.97,14.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.7,-6.7,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,735.4000000000001,4.439,0.0,13.9707513,0.0,0.0,0.0,0.0,0.0074183233142144,0.0073448745685291,0.0,0.002280990764815,,3.607380000000001,0.0,,10.0,10.0,9.000000000000002,10.0,43.5,12.5,53.0,9.5,11.500000000000002,25.0,10.0,10.0,0.0,0.0,0.0,69.54543936659906,47.400000000000006
10.0,13.5,4.9,736.2,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.60738,50.0,42.8,11275.476111111111,40591714.0,0.0,0.0,5.1125,4.09,3.834375,24981.1,24723.2,18413.6,17830.4,1380.0,0.0,0.0,0.0,737.0,2379.0,3.82,135.0,3.82,17.0,0.0,11275.4761111111,0.0,64.5,110.3,38.3,49.0,88.7,61.7,54.5,49.1,30.569999999999993,100.0,13.965,734.5,77.97,14.443,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.4000000000001,-6.7,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.443,0.0,13.9707513,0.0,0.0,0.0,0.0,0.0074183233142144,0.0073448745685291,0.0,0.002280990764815,,3.607380000000001,0.0,,10.0,10.0,9.000000000000002,10.0,43.5,12.5,53.0,9.5,11.500000000000002,25.0,10.0,10.0,0.0,0.0,0.0,69.54543936659906,47.400000000000006
11.0,13.6,2.6,736.6,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,1.91516,50.0,42.8,11275.476666666667,40591716.0,0.0,0.0,5.11527777777778,4.09222222222222,3.83645833333333,24981.1,24723.2,18413.6,17830.4,1380.0,0.0,0.0,0.0,737.0,2381.0,3.82,16.0,3.82,17.0,0.0,11275.4766666667,0.0,64.5,111.2,,,,,,,30.639999999999983,100.0,13.966,733.9000000000001,88.95,14.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,735.4000000000001,-7.1000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.6,4.443,0.0,13.9414533,,0.0,,,0.0086343584983077,0.0085488698003047,0.0,0.0012039952317755,,1.91516,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,11.500000000000002,25.0,10.0,10.0,0.0,,,,58.31000000000002
12.0,13.6,2.6,736.6,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,1.91516,50.0,42.8,11275.476666666667,40591716.0,0.0,0.0,5.11527777777778,4.09222222222222,3.83645833333333,24981.1,24723.2,18413.6,17830.4,1400.0,0.0,0.0,0.0,737.0,2381.0,3.82,16.0,3.82,17.0,0.0,11275.4766666667,0.0,64.5,111.2,,,,,,,30.639999999999983,100.0,13.966,733.9000000000001,88.95,14.437,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.5,-7.1000000000000005,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.5,4.436,0.0,13.9414533,,0.0,,,0.0086343584983077,0.0085488698003047,0.0,0.0012039952317755,,1.91516,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,11.500000000000002,25.0,10.0,10.0,0.0,,,,58.31000000000002
13.0,13.5,3.2,736.5,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,2.3568,50.0,42.8,11275.477222222222,40591718.0,0.0,0.0,5.11458333333333,4.09166666666667,3.8359375,24981.1,24723.2,18413.6,17830.4,1400.0,-34.0,-24.0,0.0,737.0,2381.0,3.82,135.0,3.82,17.0,0.0,11275.4772222222,0.0,64.5,111.2,,,,,,,29.430000000000007,100.0,13.947,733.5,85.01,14.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.5,-5.300000000000001,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.5,4.436,0.0,13.9707513,,0.0,,,0.0099646635879624,0.009866003552438,0.0,0.0013171337521333,,2.3568,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,11.500000000000002,25.0,10.0,10.0,-0.843569647011453,,,,55.58
14.0,13.5,3.2,736.5,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,2.3568,50.0,42.8,11275.477222222222,40591718.0,0.0,0.0,5.11458333333333,4.09166666666667,3.8359375,24981.1,24723.2,18413.6,17830.4,1380.0,-34.0,-24.0,0.0,737.0,2381.0,3.82,135.0,3.82,17.0,0.0,11275.4772222222,0.0,64.5,111.2,,,,,,,29.430000000000007,100.0,13.947,733.5,85.01,14.445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,-5.300000000000001,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.3000000000001,4.44,0.0,13.9707513,,0.0,,,0.0099646635879624,0.009866003552438,0.0,0.0013171337521333,,2.3568,0.0,,10.0,10.0,9.000000000000002,10.0,44.0,,53.0,,11.500000000000002,25.0,10.0,10.0,-0.843569647011453,,,,55.58
15.0,13.5,3.1,736.5,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,2.28315,50.0,42.8,11275.477777777778,40591720.0,0.0,0.0,5.11458333333333,4.09166666666667,3.8359375,24981.1,24723.2,18413.6,17830.4,1380.0,-173.0,-174.0,0.0,737.0,2381.0,3.82,13.0,3.82,17.0,0.0,11275.4777777778,0.0,64.5,110.3,37.4,49.0,93.2,64.4,55.400000000000006,49.1,29.40000000000003,100.0,13.949,733.7,82.67,14.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.0,-5.0,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,53.6,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.3000000000001,4.44,0.0,13.9707513,1.11195537677014,0.0,0.0029558627614729,0.0029558627614729,0.0112559523756728,0.0111445073026463,,0.0012785037502083,,2.28315,0.0,,10.0,10.0,9.000000000000002,10.0,43.5,13.000000000000004,53.0,9.5,11.500000000000002,26.000000000000007,10.0,10.0,-2.030815816879424,1.9995724966197406,0.004755688523985048,69.55019534978226,53.26999999999997
16.0,13.5,5.3,736.4,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.90292,50.0,42.8,11275.478333333333,40591722.0,0.0,0.0,5.11388888888889,4.09111111111111,3.83541666666667,24981.1,24723.2,18413.6,17830.4,1380.0,-197.0,-194.0,0.0,737.0,2381.0,3.82,16.0,3.82,17.0,0.0,11275.4783333333,0.0,64.5,110.3,37.4,49.0,93.2,64.4,55.400000000000006,49.1,29.40000000000003,100.0,13.949,733.7,82.67,14.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.1,-5.0,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,53.6,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,53.6,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.5,4.442,0.0,13.9707513,1.11195537677014,0.0,0.0029558627614729,0.0029558627614729,0.0132880318967121,0.0131564672244674,1.6246249176094922,0.0020119599218211,1.009494809679928,3.902919999999999,0.0,,10.0,10.0,9.000000000000002,10.0,43.5,13.000000000000004,53.0,9.5,11.500000000000002,26.000000000000007,10.0,10.0,-2.030815816879424,1.9995724966197406,0.004755688523985048,69.55019534978226,53.26999999999997
17.0,13.5,5.3,736.4,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.90292,50.0,42.8,11275.478333333333,40591722.0,0.0,0.0,5.11388888888889,4.09111111111111,3.83541666666667,24981.1,24723.2,18413.6,17830.4,1380.0,-197.0,-194.0,0.0,737.0,2381.0,3.82,16.0,3.82,17.0,0.0,11275.4783333333,0.0,64.5,110.3,37.4,49.0,94.1,64.4,55.400000000000006,49.1,29.40000000000003,100.0,13.949,733.7,82.67,14.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,734.1,-61.0,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.5,4.442,0.0,13.9707513,1.133068763494339,0.0,0.0035915254911317,0.0035915254911317,0.0132880318967121,0.0131564672244674,1.6246249176094922,0.0020119599218211,1.009494809679928,3.902919999999999,0.0,,10.0,10.0,9.000000000000002,10.0,43.5,13.000000000000004,52.0,9.5,11.500000000000002,26.000000000000007,10.0,10.0,-2.030815816879424,1.9995724966197406,0.005778894043093876,69.55121813111428,53.26999999999997
18.0,13.5,5.1,736.5,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.75615,50.0,42.8,11275.478888888889,40591724.0,0.0,0.0,5.11458333333333,4.09166666666667,3.8359375,24981.1,24723.2,18413.6,17830.4,1380.0,-225.0,-214.0,0.0,735.0,2381.0,3.82,13.0,3.82,17.0,0.0,11275.4788888889,0.0,64.5,110.3,36.5,49.0,95.0,65.30000000000001,55.400000000000006,49.1,29.40000000000003,100.0,13.949,733.7,82.67,14.451,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.9000000000001,-61.0,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.4000000000001,4.438,0.0,13.9707513,1.147709191880116,0.0,0.0041986051459476,0.0041986051459476,0.0151418656937316,0.0149919462314174,0.5324600987713484,0.0018354790069499,0.3308552640336515,3.756149999999999,0.0,0.0043008527761556,10.0,10.0,9.000000000000002,10.0,43.5,13.000000000000004,53.0,9.5,11.500000000000002,26.000000000000007,10.0,10.0,-2.030815816879424,1.9995724966197406,0.006755339614912639,69.55219492227887,53.26999999999997
19.0,13.5,5.1,736.5,0.0,0.0,0.0,23.0,48.2,50.0,50.0,48.2,50.0,3.75615,50.0,42.8,11275.478888888889,40591724.0,0.0,0.0,5.11458333333333,4.09166666666667,3.8359375,24981.1,24723.2,18413.6,17830.4,1380.0,-225.0,-214.0,0.0,735.0,2381.0,3.82,13.0,3.82,17.0,0.0,11275.4788888889,0.0,64.5,110.3,36.5,49.0,95.0,65.30000000000001,55.400000000000006,49.1,29.410000000000025,100.0,13.948,734.8000000000001,85.58,14.462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,733.9000000000001,26.9,3.0,0.0,0.0,0.0,902.0,2850.0,0.0,51.8,1.0,0.0,825.6,0.0,0.0,0.7000000000000001,13.0,0.0,41.0,0.0,51.8,51.8,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,64.5,736.4000000000001,4.438,0.0,13.9707513,1.147709191880116,0.0,0.0041986051459476,0.0041986051459476,0.0151418656937316,0.0149919462314174,0.5324600987713484,0.0018354790069499,0.3308552640336515,3.756149999999999,0.0,0.0043008527761556,10.0,10.0,9.000000000000002,10.0,43.5,13.000000000000004,53.0,9.5,11.500000000000002,26.000000000000007,10.0,10.0,-2.249519058697208,1.9995724966197406,0.006755339614912639,69.55219492227887,56.16999999999997
