time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[PS] Absolute wheels turn angle (°),[PS] MDPS motor current (A),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),Average speed (mph),DC Charger Power (kW),Distance travelled (Today) (miles),Distance travelled (total) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),EV Instant Energy Consumption (kWh/distance) (mi/kWh),HV EV Battery Power (kW),Hybrid/EV Charger Power (kW),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,48.2,57.2,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9.000000000000002,,,,,,,,,,,,
1.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.29277777778,40724254.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,3.0,3.9,17.0,0.0,11312.2927777778,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,,,,
2.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.29277777778,40724254.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,3.0,3.9,17.0,0.0,11312.2927777778,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,,,,
3.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.29277777778,40724254.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,3.0,3.9,17.0,0.0,11312.2927777778,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,,,,,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
4.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.29277777778,40724254.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,3.0,3.9,17.0,0.0,11312.2927777778,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,,,,,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
5.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.29277777778,40724254.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,3.0,3.9,17.0,0.0,11312.2927777778,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,,,,,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
6.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.29277777778,40724254.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,3.0,3.9,17.0,0.0,11312.2927777778,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,,,,,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
7.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.294444444444,40724260.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,18.0,3.9,17.0,0.0,11312.2944444444,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,0.0,0.0,,0.0,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
8.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.294444444444,40724260.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,18.0,3.9,17.0,0.0,11312.2944444444,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,0.0,0.0,,0.0,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
9.0,12.9,0.0,749.6,0.0,0.0,0.0,23.0,48.2,48.2,48.2,48.2,48.2,0.0,48.2,57.2,11312.294444444444,40724260.0,0.0,0.0,5.20555555555556,4.16444444444444,3.90416666666667,25066.4,24803.3,18475.9,17887.5,0.0,0.0,0.0,0.0,1.0,3000.0,3.9,18.0,3.9,17.0,0.0,11312.2944444444,0.0,69.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,13.0703261,,,,,,0.0,0.0,,0.0,,0.0,,,8.0,10.0,8.0,9.000000000000002,,,,,,,,,0.0,,,
