time,[BMS] Auxillary Battery Voltage (V),[BMS] Battery Current (A),[BMS] Battery DC Voltage (V),[BMS] Battery Fan Duty Feedback (%),[BMS] Battery Fan Feedback (Hz),[BMS] Battery Fan Status (),[BMS] Battery management (),[BMS] Battery Pack B01 (℉),[BMS] Battery Pack B02 (℉),[BMS] Battery Pack B03 (℉),[BMS] Battery Pack B04 (℉),[BMS] Battery Pack B05 (℉),[BMS] Battery Power (kW),[BMS] Battery temperature at WCS input (℉),[BMS] Battery temperature PRA (℉),[BMS] Battery work time total (h) (h),[BMS] Battery work time total (sec.) (sec.),[BMS] BMS Ignition (),[BMS] BMS Main Relay (),[BMS] CALC Average Cell Voltage 58kWh (V),[BMS] CALC Average Cell Voltage 72kWh (V),[BMS] CALC Average Cell Voltage 77kWh (V),[BMS] Cumulative Charge Current (Ah),[BMS] Cumulative Discharge Current (Ah),[BMS] Cumulative Energy Charged (kWh),[BMS] Cumulative Energy Discharged (kWh),[BMS] DATC A/C Compressor operation RPM var.1 (rpm),[BMS] Drive Motor Speed 1 (rpm),[BMS] Drive Motor Speed 2 (rpm),[BMS] HV_Charging (),[BMS] Inverter Capacitor Voltage (V),[BMS] Isolation Resistance (kOhm),[BMS] Maximum Cell Voltage (V),[BMS] Maximum Cell Voltage No (),[BMS] Minimum Cell Voltage (V),[BMS] Minimum Cell Voltage No (),[BMS] Normal Charge Port (),[BMS] Operating Time (Hours),[BMS] Rapid Charge Port (),[BMS] State of Charge BMS (%),[HVAC] Coolant temperature #1 (℉),[HVAC] Evaporator Temperature (℉),[HVAC] Humidity sensor for automatic defogger (%),[HVAC] Interior temperature: driver legs vent (℉),[HVAC] Interior temperature: driver vent (℉),[HVAC] Interior temperature: front (℉),[HVAC] Outside temperature (℉),[ICCU] Aux. Battery Current (A),[ICCU] Aux. Battery State of Charge (%),[ICCU] Aux. Battery Voltage (V),[ICCU] LDC Input Voltage (V),[ICCU] LDC Output Current (A),[ICCU] LDC Output Voltage (V),[ICCU] OBC AC Current A (RMS) (A),[ICCU] OBC AC Current B (RMS) (A),[ICCU] OBC AC Frequency (Hz),[ICCU] OBC AC Input Current Sensor A Signal Voltage (V),[ICCU] OBC AC Input Current Sensor B Signal Voltage (V),[ICCU] OBC AC Total Current (RMS) (A),[ICCU] OBC AC Voltage A (RMS) (V),[ICCU] OBC AC Voltage B (RMS) (V),[ICCU] OBC DC Current A (RMS) (A),[ICCU] OBC DC Current B (RMS) (A),[ICCU] OBC DC Current Total (RMS) (A),[ICCU] OBC DC Voltage (V),[VCMS] 400V Relay On/Off request (),[VCMS] 400V Relay Status (),[VCMS] AC Charger current (A),[VCMS] AC Charging Counter (),[VCMS] AC Charging Time (Hours),[VCMS] AC Charging Time after plug-in (min),[VCMS] AC Inlet temperature 1 (℉),[VCMS] Battery main relay status (),[VCMS] BMS Target current (A),[VCMS] BMS Target voltage (V),[VCMS] Charging socket connected (),[VCMS] CP duty cycle (%),[VCMS] CP voltage (V),[VCMS] Cumulative DC Charging time (h),[VCMS] DC Charger current capability (A),[VCMS] DC Charging counter (),[VCMS] DC Charging time after plug-in (min),[VCMS] DC Inlet Temperature 1 (℉),[VCMS] DC Inlet Temperature 2 (℉),[VCMS] EV Max Current (A),[VCMS] EV Max Voltage (V),[VCMS] EVSE Current regulation tolerance Value (A),[VCMS] EVSE Delivered Power Value (Wh),[VCMS] EVSE Main Power (kW),[VCMS] EVSE Maximum Current Value (A),[VCMS] EVSE Maximum Power value (W),[VCMS] EVSE Maximum Voltage Value (V),[VCMS] EVSE Minimum Current Value (A),[VCMS] EVSE Minimum Voltage Value (V),[VCMS] EVSE Output Current (A),[VCMS] EVSE Output Voltage (V),[VCMS] EVSE Target Current (A),[VCMS] EVSE Target Voltage (V),[VCMS] HV Battery SoC (%),[VCMS] HV Battery Voltage (V),[VCMS] PD voltage (V),[VCS] Accelerator pedal position (%),[VCS] Aux. battery voltage (V),# warm-ups since codes cleared (),Average speed (mph),DC Charger Power (kW),Distance traveled since codes cleared (miles),Distance traveled with MIL on (miles),Distance travelled (Today) (miles),Distance travelled (total) (miles),Distance travelled (Week) (miles),Energy costs ($),Energy used (kWh),EV Instant Energy Consumption (distance/kWh) (km/kWh),EV Instant Energy Consumption (kWh) (kWh),HV EV Battery Power (kW),Hybrid/EV battery pack remaining charge (%),Hybrid/EV Battery System Current (A),Hybrid/EV Battery System Voltage (V),Hybrid/EV Charger Power (kW),OBD Module Voltage (V),Vehicle acceleration (g),[BMS] Battery Inlet Temperature (℃),[BMS] Battery Max Temperature (℃),[BMS] Battery Min Temperature (℃),[BMS] Coolant temperature 2 (℃),[HVAC] Coolant temperature 1 (℃),[HVAC] Indoor Temperature (℃),[HVAC] Inverter temperature (℃),[HVAC] Outdoor Temperature (℃),[ICCU] Aux. Battery Temperature (℃),[ICCU] LDC Temperature (℃),[ICCU] OBC Temperature A (℃),[ICCU] OBC Temperature B (℃),[VCS] Vehicle speed (high res.) (km/h),[HVAC] Real Vehicle Speed (km/h),Distance travelled (km),12V device load (A)
0.0,,,,0.0,,,23.0,,,,,,,53.6,71.6,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,,
1.0,14.1,-11.4,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66628,53.6,71.6,11265.617777777778,40556224.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.4,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6177777778,0.0,74.0,,,,,,,,0.0900000000000318,100.0,14.5,756.3000000000001,7.43,14.566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.66628,,,,,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,,,,,16.0,21.999999999999996,,,,,,7.339999999999968
2.0,14.1,-11.4,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66628,53.6,71.6,11265.617777777778,40556224.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.4,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6177777778,0.0,74.0,,,,,,,,0.0900000000000318,100.0,14.5,756.3000000000001,7.43,14.566,,,,,,,,,,,,,0.0,0.0,,,,,150.8,1.0,,,0.0,,,,,,,59.0,59.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.4907908,,,0.0,,,,,,,,,,-8.66628,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,,,,,16.0,21.999999999999996,,,0.0,,,7.339999999999968
3.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.618611111113,40556227.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6186111111,0.0,74.0,60.8,,,,,,,0.0400000000000204,100.0,14.5,756.7,10.55,14.569,,,,,,,,,,,,,0.0,0.0,,,,,150.8,1.0,,,0.0,,,,,,,59.0,59.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.4907908,,,0.0,,,,,,-0.0052348623234292,-0.0051830320033952,,-0.0051830320033952,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,,20.0,,16.0,21.999999999999996,,,0.0,,,10.50999999999998
4.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.618888888888,40556228.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6188888889,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0400000000000204,100.0,14.5,756.7,10.55,14.569,,,,,,,,,,,,,0.0,0.0,,,,,150.8,1.0,,,0.0,,,,,,,59.0,59.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.4907908,,,0.0,,,,,,-0.0086922696520725,-0.0086062075763094,,-0.0034231755729141,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,,,0.0,0.0,,10.50999999999998
5.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.618888888888,40556228.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6188888889,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0300000000000295,100.0,14.499,756.4000000000001,8.48,14.571,,,,,,,,,,,,,0.0,0.0,,,,,150.8,1.0,,,0.0,,,,,,,59.0,59.0,,,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,,,,,,0.0,14.4907908,,,0.0,,,,,,-0.0086922696520725,-0.0086062075763094,,-0.0034231755729141,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,,,0.0,0.0,,8.44999999999997
6.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.618888888888,40556228.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6188888889,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0300000000000295,100.0,14.499,756.4000000000001,8.48,14.571,,,,,,,,,,,,,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.1,1.491,0.0,14.4907908,,,0.0,,,,,,-0.0086922696520725,-0.0086062075763094,,-0.0034231755729141,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,,,0.0,0.0,,8.44999999999997
7.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.619722222222,40556231.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6197222222,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0300000000000295,100.0,14.499,756.4000000000001,8.48,14.571,19.54,19.83,60.0,2.49,2.58,39.37,239.8,0.0,6.04,6.03,12.07,757.8000000000001,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.1,1.491,0.0,14.4907908,,,0.0,,,,,,-0.0155037893849031,-0.0153502865197061,,-0.0067440789433966,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,,8.44999999999997
8.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.619722222222,40556231.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6197222222,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0600000000000022,100.0,14.5,757.6,9.87,14.568,19.54,19.83,60.0,2.49,2.58,39.37,239.8,0.0,6.04,6.03,12.07,757.8000000000001,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.1,1.491,0.0,14.4907908,,,0.0,,,,,,-0.0155037893849031,-0.0153502865197061,,-0.0067440789433966,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,,9.809999999999997
9.0,14.1,-11.3,760.1,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.58913,53.6,71.6,11265.619722222222,40556231.0,0.0,0.0,5.27847222222222,4.22277777777778,3.95885416666667,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6197222222,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0600000000000022,100.0,14.5,757.6,9.87,14.568,19.54,19.83,60.0,2.49,2.58,39.37,239.8,0.0,6.04,6.03,12.07,757.8000000000001,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.49,0.0,14.4907908,,,0.0,,,,,,-0.0155037893849031,-0.0153502865197061,,-0.0067440789433966,-8.58913,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,,9.809999999999997
10.0,14.1,-11.3,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.59026,53.6,71.6,11265.620555555555,40556234.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6205555556,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.160000000000025,100.0,14.501,756.3000000000001,9.17,14.569,19.52,19.81,60.0,1.93,1.85,39.33,239.7,0.0,6.05,6.03,12.08,757.0,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.49,0.0,14.4907908,,,0.0,,,,,,-0.0220549751547034,-0.0218366090640627,,-0.0064863225443566,-8.59026,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,,9.009999999999975
11.0,14.1,-11.3,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.59026,53.6,71.6,11265.620555555555,40556234.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6205555556,0.0,74.0,60.8,,,,,,,0.160000000000025,100.0,14.501,756.3000000000001,9.17,14.569,19.52,19.81,60.0,1.93,1.85,39.33,239.7,0.0,6.05,6.03,12.08,757.0,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.7,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.49,0.0,14.4907908,,,0.0,,,,,,-0.0220549751547034,-0.0218366090640627,,-0.0064863225443566,-8.59026,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,,20.0,,16.0,21.999999999999996,56.00000000000001,35.0,0.0,,,9.009999999999975
12.0,14.1,-11.4,760.3,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66742,53.6,71.6,11265.621111111112,40556236.0,0.0,0.0,5.27986111111111,4.22388888888889,3.95989583333333,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6211111111,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.160000000000025,100.0,14.501,756.3000000000001,9.17,14.569,19.52,19.82,60.0,2.73,2.66,39.35,239.6,0.0,6.03,6.04,12.07,757.4000000000001,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.3000000000001,1.49,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0280267619175187,-0.0277492692252661,,-0.0059126601612033,-8.66742,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,9.009999999999975
13.0,14.1,-11.4,760.3,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66742,53.6,71.6,11265.621111111112,40556236.0,0.0,0.0,5.27986111111111,4.22388888888889,3.95989583333333,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6211111111,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.160000000000025,100.0,14.501,756.3000000000001,9.17,14.569,19.52,19.82,60.0,2.73,2.66,39.35,239.6,0.0,6.03,6.04,12.07,757.4000000000001,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.3000000000001,1.49,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0280267619175187,-0.0277492692252661,,-0.0059126601612033,-8.66742,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,9.009999999999975
14.0,14.1,-11.4,760.3,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66742,53.6,71.6,11265.621666666666,40556238.0,0.0,0.0,5.27986111111111,4.22388888888889,3.95989583333333,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6216666667,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.160000000000025,100.0,14.501,756.3000000000001,9.17,14.569,19.52,19.84,60.0,2.53,2.53,39.36,239.7,0.0,6.04,6.0200000000000005,12.06,757.2,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.3000000000001,1.49,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0327759951684945,-0.0324514803648461,0.0,-0.00470221113958,-8.66742,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,9.009999999999975
15.0,14.1,-11.4,760.3,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66742,53.6,71.6,11265.621666666666,40556238.0,0.0,0.0,5.27986111111111,4.22388888888889,3.95989583333333,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6216666667,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0400000000000204,100.0,14.5,756.8000000000001,10.54,14.568,19.52,19.84,60.0,2.53,2.53,39.36,239.7,0.0,6.04,6.0200000000000005,12.06,757.2,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.3000000000001,1.49,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0327759951684945,-0.0324514803648461,0.0,-0.00470221113958,-8.66742,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,10.499999999999979
16.0,14.1,-11.4,760.3,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.66742,53.6,71.6,11265.621666666666,40556238.0,0.0,0.0,5.27986111111111,4.22388888888889,3.95989583333333,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6216666667,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.0400000000000204,100.0,14.5,756.8000000000001,10.54,14.568,19.52,19.81,60.0,1.95,1.89,39.33,239.6,0.0,6.04,6.05,12.1,758.2,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.49,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0327759951684945,-0.0324514803648461,0.0,-0.00470221113958,-8.66742,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,10.499999999999979
17.0,14.1,-11.3,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.59026,53.6,71.6,11265.6225,40556241.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6225,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.1999999999999886,100.0,14.5,757.3000000000001,7.56,14.569,19.52,19.81,60.0,1.95,1.89,39.33,239.6,0.0,6.04,6.05,12.1,758.2,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.49,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0387198726927284,-0.0383365076165627,0.0,-0.0058850272517166,-8.59026,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,7.360000000000011
18.0,14.1,-11.3,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.59026,53.6,71.6,11265.6225,40556241.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,148.0,3.94,17.0,0.0,11265.6225,0.0,74.0,,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.1999999999999886,100.0,14.5,757.3000000000001,7.56,14.569,19.52,19.81,60.0,1.95,1.89,39.33,239.6,0.0,6.04,6.05,12.1,758.2,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.491,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0387198726927284,-0.0383365076165627,0.0,-0.0058850272517166,-8.59026,,,,0.0,,,10.999999999999998,14.000000000000002,10.999999999999998,12.0,,23.000000000000004,,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,7.360000000000011
19.0,14.1,-11.3,760.2,0.0,0.0,0.0,23.0,53.6,57.2,53.6,55.400000000000006,53.6,-8.59026,53.6,71.6,11265.623055555556,40556243.0,0.0,0.0,5.27916666666667,4.22333333333333,3.959375,24974.5,24705.5,18408.6,17817.2,0.0,0.0,0.0,0.0,760.0,2436.0,3.96,101.0,3.94,17.0,0.0,11265.6230555556,0.0,74.0,60.8,56.3,37.0,69.80000000000001,83.30000000000001,73.4,45.5,0.1999999999999886,100.0,14.5,757.3000000000001,7.56,14.569,19.53,19.82,60.0,2.22,2.23,39.35,239.8,0.0,6.03,6.05,12.08,757.0,0.0,0.0,4.0,902.0,2850.0,26.0,150.8,1.0,37.0,825.6,0.0,66.60000000000001,5.800000000000001,13.0,0.0,41.0,0.0,59.0,59.0,350.0,825.6,-50.0,0.0,0.0,0.0,0.0,400.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,760.2,1.491,0.0,14.4907908,,0.0,0.0,,,0.0,43.222771514356154,43.055188946552136,-0.0443893745278862,-0.0439498757701844,0.0,-0.0056133681536216,-8.59026,,,,0.0,,0.0,10.999999999999998,14.000000000000002,10.999999999999998,12.0,16.0,23.000000000000004,20.0,7.5,16.0,21.999999999999996,56.00000000000001,35.0,0.0,0.0,0.0,7.360000000000011
